throughput_limit_records_per_sec,security_mode,metric,metric_label,count,mean,median,std,min,q25,q75,max
1000,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,863,196.10776361529548,0.0,3694.301039481017,0.0,0.0,0.0,102536.0
1000,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,244.60185185185185,0.0,4470.816754530336,0.0,0.0,0.0,110904.0
10000,mtls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,290.8425925925926,0.0,8384.419332863607,0.0,0.0,0.0,246584.0
10000,plaintext,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,16.37037037037037,0.0,288.3714359086402,0.0,0.0,0.0,7872.0
10000,tls,benchmark_client_disk_read_sectors_delta,Benchmark client disk read sectors,864,7.5092592592592595,0.0,97.73348068906301,0.0,0.0,0.0,2240.0
1000,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,49456.82407407407,49836.0,15797.264005568897,14416.0,37620.0,59572.0,114808.0
1000,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,863,46887.81460023175,44576.0,30661.748050824743,15800.0,33592.0,55960.0,462888.0
1000,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,48077.72222222222,42176.0,83507.5841062126,12416.0,32370.0,53286.0,2127912.0
10000,mtls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,49249.40740740741,44460.0,48570.30788246027,6152.0,32038.0,58322.0,887600.0
10000,plaintext,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,41638.81481481482,41996.0,15142.431002629999,6176.0,31084.0,51968.0,171880.0
10000,tls,benchmark_client_disk_write_sectors_delta,Benchmark client disk write sectors,864,40878.555555555555,40516.0,15330.419930547028,6208.0,29764.0,52886.0,210456.0
1000,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,5362.441358024691,0.0,12058.158867587745,0.0,0.0,9637.066666666668,149993.6
1000,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,863,6804.717806102742,0.0,12643.53290512863,0.0,0.0,12870.400000000001,158881.6
1000,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,863,5433.469602162996,0.0,13430.540841430395,0.0,0.0,8304.0,192798.4
10000,mtls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,7657.741820987655,0.0,28950.287604471658,0.0,0.0,7678.0,310771.2
10000,plaintext,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,863,9412.348242564696,0.0,30809.920936747392,0.0,0.0,12201.333333333332,394941.3333333333
10000,tls,broker_disk_read_sectors_delta_mean,Broker disk read sectors mean,864,9043.109876543209,0.0,38969.19494804677,0.0,0.0,8043.333333333334,449915.2
1000,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6541473.99691358,1819884.0,8143381.25785836,156526.4,266279.4666666667,13802411.2,20312669.333333332
1000,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,863,6555007.738586326,1900272.0,8135353.623953536,156444.8,273636.0,15730812.0,20611715.2
1000,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,863,6514866.402780997,1834846.4,8091476.669572826,158036.8,268276.8,15530343.2,20574584.0
10000,mtls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6385986.735185184,1594588.8,8210584.429092082,15073.6,155307.6,13094371.733333332,41124512.0
10000,plaintext,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,863,6287741.590421012,1425484.8,8099536.723629366,16656.0,141227.2,13161949.6,20373170.666666668
10000,tls,broker_disk_write_sectors_delta_mean,Broker disk write sectors mean,864,6330003.790123457,1537315.2,8120166.176998216,17988.8,161626.8,12998645.733333332,20295749.333333332
1000,mtls,broker_disk_read_sectors_delta_total,Broker disk read sectors total,864,24067.194444444445,0.0,57820.400616903615,0.0,0.0,43794.0,749968.0
